VP,FP,FN,VN,precision,recall,specificity,accuracy,w_nome,p_nome,w_nome_mae,p_nome_mae,w_dt_nasc,p_dt_nasc,w_sexo,p_sexo
301.0,0.0,259.0,440.0,1.0,0.5375,1.0,0.741,5.2,0.55,1.65,0.44,0.9,0.24,2.9,0.78
436.0,19.0,124.0,421.0,0.9582417582417583,0.7785714285714286,0.9568181818181818,0.857,1.55,0.36,0.2,0.04,3.3,0.97,3.45,0.03
551.0,14.0,9.0,426.0,0.9752212389380531,0.9839285714285714,0.9681818181818181,0.977,3.45,0.12,4.15,0.47,2.15,0.2,1.05,0.33
387.0,44.0,173.0,396.0,0.8979118329466357,0.6910714285714286,0.9,0.783,2.7,0.57,4.15,0.96,0.15,0.94,3.35,0.07
301.0,0.0,259.0,440.0,1.0,0.5375,1.0,0.741,5.2,0.86,1.7,0.16,1.8,0.81,5.55,0.29
423.0,0.0,137.0,440.0,1.0,0.7553571428571428,1.0,0.863,2.85,0.72,1.05,0.72,1.35,0.85,0.8,0.98
431.0,14.0,129.0,426.0,0.9685393258426966,0.7696428571428572,0.9681818181818181,0.857,4.35,0.27,4.85,0.63,2.85,0.74,4.15,0.08
436.0,7.0,124.0,433.0,0.9841986455981941,0.7785714285714286,0.9840909090909091,0.869,1.35,0.66,2.45,0.32,3.25,0.16,5.9,0.55
558.0,13.0,2.0,427.0,0.9772329246935202,0.9964285714285714,0.9704545454545455,0.985,0.0,0.46,4.5,0.58,3.05,0.64,0.15,0.5
435.0,9.0,125.0,431.0,0.9797297297297297,0.7767857142857143,0.9795454545454545,0.866,2.4,0.91,3.5,0.17,5.15,0.29,6.0,0.35
